epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01734,1.65403,0.81703,0.14514,1.01823,1.41555,0.82382,0.74648,0.78388,0.35596,0.88035,0.80986,0.87561,0.55863,2.13128,1.44805,0.02098,2.01781,1.81522,0.000654321,0.000654321,0.000654321
2,15.723,1.52243,0.82301,0.15655,0.89502,1.34413,0.76673,0.6338,0.69469,0.29452,0.83923,0.69849,0.82602,0.54342,1.97719,1.41043,0.0365,1.93332,1.76178,0.0012556,0.0012556,0.0012556
3,22.8996,1.50375,0.88629,0.17024,0.9351,1.30621,0.83146,0.6601,0.73139,0.33222,0.91109,0.72162,0.85188,0.55814,2.14412,1.36786,0.02881,1.79126,1.87101,0.00179088,0.00179088,0.00179088
4,29.864,1.55611,0.77949,0.14124,0.97175,1.34669,0.64229,0.64789,0.61308,0.26679,0.70831,0.73239,0.72235,0.46018,2.35859,1.43522,0.02802,6.96718,1.92106,0.001703,0.001703,0.001703
5,36.9618,1.47811,0.78485,0.13519,0.92714,1.30867,0.86713,0.68936,0.72278,0.32403,0.93862,0.75383,0.84154,0.55567,2.13268,1.36707,0.03411,2.02733,1.82495,0.001604,0.001604,0.001604
6,43.8993,1.43254,0.66783,0.13193,0.84621,1.26762,0.76241,0.63277,0.66999,0.31738,0.80466,0.66724,0.7363,0.51985,2.3841,1.47318,0.05547,3.44805,1.98079,0.001505,0.001505,0.001505
