epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0172,2.0618,2.34832,0.47197,3.39984,1.44482,0.8467,0.73321,0.81402,0.50048,0.86393,0.74813,0.84815,0.60113,1.35195,1.13317,0.29677,1.33178,1.18784,0.000659176,0.000659176,0.000659176
2,20.7454,1.52267,1.2784,0.20839,1.30096,1.14953,0.51249,0.18828,0.20495,0.09874,0.43996,0.30037,0.32547,0.16803,2.71817,1.8022,0.27053,2.97421,1.83895,0.00127334,0.00127334,0.00127334
3,28.9691,1.5148,1.14001,0.18525,1.27745,1.1364,0.76666,0.63619,0.72152,0.40858,0.79142,0.65833,0.76256,0.56215,1.58094,0.93755,0.23071,3.72909,1.33593,0.0018347,0.0018347,0.0018347
4,37.4507,1.43557,1.00288,0.17226,1.12047,1.104,0.80634,0.71082,0.82558,0.4997,0.80141,0.74537,0.86081,0.72136,1.34641,0.64186,0.22759,3.15144,1.15486,0.0017624,0.0017624,0.0017624
5,46.0136,1.32596,0.82617,0.14176,1.02398,1.06794,0.75431,0.54104,0.61111,0.27937,0.75408,0.64644,0.74145,0.58461,1.97011,0.9126,0.21629,1.60616,1.44906,0.0016832,0.0016832,0.0016832
6,54.1633,1.24984,0.85415,0.14313,0.92547,1.04639,0.866,0.80782,0.89884,0.5824,0.87745,0.83209,0.9254,0.7903,1.21926,0.52757,0.23054,1.12322,1.1001,0.001604,0.001604,0.001604
7,63.1554,1.26582,0.7631,0.13277,0.91065,1.05212,0.87539,0.81263,0.87449,0.56758,0.8975,0.83315,0.90072,0.7938,1.17776,0.55477,0.24114,1.0295,1.07078,0.0015248,0.0015248,0.0015248
8,71.4168,1.21193,0.73612,0.11633,0.86535,1.02071,0.87581,0.86381,0.9225,0.66761,0.88977,0.88619,0.9457,0.84559,1.04256,0.47178,0.25197,0.94105,1.01685,0.0014456,0.0014456,0.0014456
9,80.2916,1.16233,0.67887,0.11182,0.78595,1.01163,0.85495,0.78075,0.84676,0.56506,0.88762,0.79572,0.88244,0.76829,1.23724,0.55698,0.26377,1.59744,1.10118,0.0013664,0.0013664,0.0013664
10,88.4088,1.09838,0.60639,0.12339,0.73647,0.991,0.89729,0.86381,0.90718,0.63813,0.92232,0.87127,0.92644,0.83955,1.01107,0.42896,0.27119,0.99003,1.02419,0.0012872,0.0012872,0.0012872
11,96.9256,1.0799,0.5847,0.09891,0.74308,0.97417,0.90796,0.80597,0.88714,0.6138,0.92154,0.82276,0.91271,0.81999,1.11827,0.45692,0.25979,1.03053,1.05708,0.001208,0.001208,0.001208
12,105.193,1.06873,0.57495,0.10592,0.7298,0.98053,0.88719,0.85821,0.92509,0.6726,0.90692,0.87127,0.9409,0.8675,0.99742,0.34222,0.29674,0.9216,0.99638,0.0011288,0.0011288,0.0011288
13,114.373,1.04327,0.60136,0.11396,0.67549,0.97325,0.93748,0.86718,0.93502,0.70085,0.94958,0.87837,0.95219,0.87056,0.94904,0.38385,0.27665,0.77807,0.9908,0.0010496,0.0010496,0.0010496
14,123.179,1.00218,0.54649,0.08885,0.68968,0.95318,0.86511,0.89739,0.92646,0.67984,0.88489,0.91791,0.95132,0.87646,1.01472,0.3734,0.23713,0.80584,1.00772,0.0009704,0.0009704,0.0009704
15,131.734,1.02685,0.47752,0.10369,0.6679,0.97025,0.93458,0.87949,0.9412,0.71845,0.94521,0.90112,0.96608,0.89522,0.9219,0.32442,0.2737,0.72255,0.9672,0.0008912,0.0008912,0.0008912
16,142.554,0.98145,0.47356,0.04361,0.63317,0.98374,0.90473,0.92133,0.93339,0.69508,0.91685,0.93843,0.95665,0.88308,0.94398,0.32413,0.30203,1.30482,0.97388,0.000812,0.000812,0.000812
17,150.948,0.94362,0.42092,0.0226,0.59289,0.96613,0.90975,0.86512,0.91337,0.67756,0.9219,0.88089,0.93548,0.86842,1.00283,0.34481,0.28608,1.40253,0.99501,0.0007328,0.0007328,0.0007328
18,159.154,0.92527,0.45062,0.02691,0.58578,0.96419,0.93618,0.87574,0.9396,0.70935,0.95014,0.8888,0.95953,0.89767,0.91745,0.30611,0.27753,0.73984,0.95748,0.0006536,0.0006536,0.0006536
19,167.263,0.87408,0.41236,0.02985,0.56397,0.9551,0.92369,0.91978,0.94742,0.72298,0.93831,0.9347,0.96592,0.89974,0.94458,0.30912,0.30992,0.8657,0.97709,0.0005744,0.0005744,0.0005744
20,176.02,0.85936,0.40626,0.0244,0.5473,0.93782,0.92208,0.91045,0.93948,0.73222,0.93415,0.92636,0.96442,0.89756,0.89495,0.29256,0.31143,0.74124,0.96181,0.0004952,0.0004952,0.0004952
21,184.894,0.85587,0.39523,0.03804,0.52231,0.94504,0.93457,0.91604,0.95224,0.7519,0.95407,0.93018,0.96994,0.91612,0.838,0.27802,0.30973,0.65939,0.93867,0.000416,0.000416,0.000416
22,193.613,0.82638,0.34372,0.02654,0.51049,0.93352,0.92314,0.93284,0.95517,0.75346,0.95106,0.94265,0.97249,0.9169,0.78761,0.27181,0.31807,0.74499,0.92161,0.0003368,0.0003368,0.0003368
23,202.421,0.77055,0.34565,0.02067,0.47507,0.91592,0.93025,0.92069,0.95237,0.7687,0.94536,0.9361,0.96907,0.91825,0.80496,0.26261,0.33573,0.66361,0.92397,0.0002576,0.0002576,0.0002576
24,211.081,0.7808,0.32221,0.02081,0.48507,0.91444,0.92735,0.92537,0.9508,0.7577,0.94579,0.94396,0.96758,0.91547,0.79879,0.2724,0.34389,0.59916,0.92119,0.0001784,0.0001784,0.0001784
25,219.206,0.75582,0.35436,0.02182,0.47616,0.91456,0.93199,0.92036,0.95002,0.76436,0.94304,0.94403,0.96824,0.91655,0.78269,0.26187,0.33976,0.58677,0.91798,9.92e-05,9.92e-05,9.92e-05
