epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4941,1.97008,2.28461,0.47337,3.35106,1.40874,0.72988,0.64552,0.73165,0.43515,0.7416,0.65112,0.76121,0.5326,1.37805,1.18312,0.31073,2.34684,1.25524,0.000659176,0.000659176,0.000659176
2,21.8559,1.49844,1.26623,0.20112,1.25018,1.17122,0.06349,0.19776,0.03426,0.02017,0.0635,0.21082,0.03586,0.02508,1.41589,0.94341,0.19993,30.7954,1.24796,0.00131709,0.00131709,0.00131709
3,31.3399,1.48005,1.09506,0.18854,1.19645,1.1567,0.74471,0.72201,0.79477,0.47827,0.7733,0.73507,0.83778,0.64716,1.39074,0.77839,0.24068,2.6137,1.2832,0.00196621,0.00196621,0.00196621
4,41.1785,1.40799,1.01561,0.17098,1.11153,1.12654,0.81597,0.74448,0.84545,0.52982,0.82455,0.77985,0.87794,0.72614,1.31523,0.61378,0.2631,1.21101,1.21476,0.0019604,0.0019604,0.0019604
5,50.6626,1.37284,0.82453,0.14349,1.04333,1.11589,0.80634,0.66418,0.77406,0.50711,0.81895,0.67537,0.80404,0.67409,1.36734,0.6638,0.25571,1.61496,1.26674,0.0019472,0.0019472,0.0019472
6,59.4599,1.25876,0.88526,0.1441,0.95079,1.07552,0.84225,0.77698,0.8527,0.52462,0.85671,0.81903,0.88982,0.76123,1.41091,0.60035,0.22867,1.21409,1.24528,0.001934,0.001934,0.001934
7,68.8178,1.27455,0.79644,0.13923,0.94119,1.08381,0.87829,0.83396,0.88863,0.61764,0.89565,0.8487,0.91354,0.80291,1.1946,0.48345,0.25157,1.15958,1.14145,0.0019208,0.0019208,0.0019208
8,78.2668,1.22412,0.74195,0.1155,0.90335,1.04655,0.79481,0.77799,0.85566,0.55455,0.82048,0.80155,0.88483,0.75251,1.30177,0.57692,0.27773,1.09773,1.1772,0.0019076,0.0019076,0.0019076
9,86.8524,1.18877,0.7227,0.11595,0.83009,1.0361,0.86852,0.79291,0.88785,0.59733,0.89186,0.80597,0.9145,0.79955,1.25237,0.55769,0.28087,1.18723,1.14346,0.0018944,0.0018944,0.0018944
10,95.4838,1.14783,0.64903,0.12082,0.80281,1.02203,0.88868,0.81918,0.88002,0.60322,0.90004,0.83396,0.90413,0.80319,1.14803,0.50271,0.26126,1.14594,1.10081,0.0018812,0.0018812,0.0018812
11,104.35,1.12241,0.62618,0.1055,0.78592,1.00203,0.8828,0.8694,0.91524,0.62536,0.90354,0.89124,0.93761,0.84051,1.15968,0.4574,0.24925,1.08934,1.10251,0.001868,0.001868,0.001868
12,113.656,1.11781,0.63374,0.10733,0.78418,1.01483,0.862,0.78918,0.86991,0.59222,0.85704,0.81157,0.89398,0.80281,1.17915,0.41206,0.31733,1.93617,1.11274,0.0018548,0.0018548,0.0018548
13,122.446,1.1163,0.67533,0.11579,0.75476,1.01478,0.91083,0.78136,0.87327,0.62287,0.92823,0.79628,0.89514,0.81358,1.07991,0.44118,0.25848,1.13429,1.07083,0.0018416,0.0018416,0.0018416
14,131.129,1.0805,0.61756,0.09498,0.77639,0.99735,0.8786,0.70213,0.79724,0.5619,0.90925,0.72898,0.83333,0.71518,1.27301,0.55382,0.27413,1.46133,1.17368,0.0018284,0.0018284,0.0018284
15,139.992,1.10324,0.54742,0.1103,0.73777,1.01101,0.87351,0.90191,0.93786,0.69897,0.88266,0.91223,0.95059,0.86641,1.03833,0.38412,0.28759,0.98804,1.05854,0.0018152,0.0018152,0.0018152
16,149.083,1.05099,0.62399,0.10856,0.73182,0.98888,0.90945,0.88806,0.93274,0.69288,0.93782,0.8806,0.95472,0.88053,1.10149,0.36429,0.27897,0.87218,1.07428,0.001802,0.001802,0.001802
17,158.325,1.04352,0.56096,0.10863,0.70192,0.98427,0.87838,0.88993,0.9299,0.67906,0.89093,0.89918,0.94722,0.86897,1.04143,0.36375,0.27549,0.81769,1.05389,0.0017888,0.0017888,0.0017888
18,167.014,1.1053,0.59307,0.09643,0.73893,1.01342,0.90517,0.87687,0.92389,0.67489,0.91239,0.89378,0.939,0.8531,0.96386,0.33489,0.28401,0.8805,1.03541,0.0017756,0.0017756,0.0017756
19,175.884,1.03982,0.54547,0.10155,0.7138,0.97866,0.87892,0.78358,0.8722,0.65074,0.89776,0.80037,0.89132,0.78747,0.93441,0.4434,0.30381,1.04199,1.01152,0.0017624,0.0017624,0.0017624
20,184.52,1.04659,0.56992,0.09913,0.69163,0.98196,0.92176,0.85717,0.90688,0.69108,0.93663,0.88238,0.93216,0.85542,0.97265,0.38019,0.29903,1.07334,1.02662,0.0017492,0.0017492,0.0017492
21,193.151,1.02793,0.57396,0.10747,0.68785,0.97689,0.93773,0.87127,0.94007,0.71827,0.94775,0.88433,0.95625,0.87277,0.90163,0.32125,0.27723,0.71859,1.00175,0.001736,0.001736,0.001736
22,202.53,0.99611,0.48745,0.0872,0.65596,0.96387,0.86383,0.78116,0.82957,0.59607,0.88184,0.79291,0.85525,0.77109,1.02837,0.43101,0.3192,1.11745,1.06242,0.0017228,0.0017228,0.0017228
23,211.238,0.94049,0.49821,0.09537,0.61602,0.95577,0.95737,0.83396,0.9288,0.70416,0.96353,0.84142,0.94395,0.86738,0.94462,0.34929,0.32528,0.69302,0.99977,0.0017096,0.0017096,0.0017096
24,219.831,0.97682,0.47723,0.08404,0.63144,0.9646,0.88715,0.80784,0.87604,0.62574,0.89739,0.81716,0.90387,0.81506,1.02708,0.39248,0.34713,0.93707,1.04816,0.0016964,0.0016964,0.0016964
25,228.646,0.9941,0.50667,0.09185,0.64334,0.9718,0.92697,0.89366,0.94179,0.71169,0.9326,0.90357,0.95623,0.88744,0.90899,0.31097,0.31308,0.69314,1.03106,0.0016832,0.0016832,0.0016832
26,238.044,0.98543,0.46038,0.08436,0.64401,0.9644,0.89886,0.87687,0.92795,0.69884,0.90736,0.89366,0.94492,0.87855,0.96487,0.30947,0.30508,0.91238,1.0192,0.00167,0.00167,0.00167
27,246.826,0.97088,0.46992,0.07578,0.62849,0.96185,0.93124,0.88246,0.93869,0.71382,0.94699,0.89739,0.95918,0.88057,0.96289,0.32016,0.31957,0.77298,1.03721,0.0016568,0.0016568,0.0016568
28,255.502,0.92438,0.45973,0.08121,0.58183,0.93787,0.93332,0.91396,0.95093,0.73624,0.94473,0.92485,0.9685,0.89895,0.89056,0.32074,0.31792,0.73276,0.98602,0.0016436,0.0016436,0.0016436
29,264.941,0.93099,0.5273,0.08413,0.60184,0.93076,0.92207,0.81675,0.92517,0.7097,0.92757,0.8362,0.93957,0.86651,0.95013,0.33282,0.35314,0.74505,1.00686,0.0016304,0.0016304,0.0016304
30,273.556,0.92341,0.45672,0.09107,0.60337,0.95828,0.92579,0.85634,0.92929,0.69165,0.93683,0.86754,0.93927,0.86159,0.9452,0.34449,0.33692,0.78282,1.00406,0.0016172,0.0016172,0.0016172
31,282.075,0.92586,0.49947,0.08369,0.59591,0.95197,0.83218,0.89552,0.90453,0.67043,0.85572,0.91045,0.92903,0.85122,0.97368,0.33367,0.3604,0.78016,1.0248,0.001604,0.001604,0.001604
32,291.107,0.88956,0.42452,0.08015,0.58226,0.9346,0.8953,0.94127,0.94538,0.72712,0.90772,0.95433,0.95768,0.8904,0.90128,0.29761,0.36262,0.61529,0.99515,0.0015908,0.0015908,0.0015908
33,299.914,0.89981,0.47423,0.07985,0.59818,0.93596,0.91263,0.86007,0.91633,0.70527,0.92649,0.87313,0.9339,0.85045,0.83999,0.34009,0.39684,0.79799,0.97372,0.0015776,0.0015776,0.0015776
34,308.575,0.90592,0.42069,0.08419,0.58524,0.93231,0.90834,0.9059,0.94032,0.71577,0.91966,0.91832,0.95647,0.88776,0.92104,0.3002,0.3457,0.68147,1.00989,0.0015644,0.0015644,0.0015644
35,317.521,0.93131,0.4886,0.07612,0.60026,0.94589,0.92758,0.88806,0.91706,0.70411,0.94338,0.90138,0.93895,0.87211,0.8486,0.3335,0.34724,0.75697,0.97755,0.0015512,0.0015512,0.0015512
36,326.37,0.86663,0.40577,0.07689,0.55277,0.92775,0.9504,0.82223,0.92819,0.72719,0.97196,0.84142,0.94773,0.87738,0.84824,0.33959,0.32375,0.84943,0.98588,0.001538,0.001538,0.001538
37,334.957,0.89132,0.46047,0.08542,0.55424,0.93467,0.93304,0.85261,0.91295,0.71704,0.94937,0.86754,0.93783,0.8725,0.83596,0.27752,0.31923,0.80306,0.98059,0.0015248,0.0015248,0.0015248
38,343.498,0.91494,0.39446,0.07529,0.56055,0.94118,0.89676,0.90756,0.94959,0.75727,0.90791,0.91965,0.96115,0.90199,0.81287,0.28762,0.33132,0.65047,0.96576,0.0015116,0.0015116,0.0015116
39,353.004,0.88785,0.41417,0.07756,0.56332,0.93095,0.90787,0.90672,0.94956,0.74714,0.92101,0.91791,0.96181,0.90632,0.80244,0.26474,0.37143,0.63085,0.96612,0.0014984,0.0014984,0.0014984
40,361.654,0.86717,0.41118,0.07187,0.55916,0.92644,0.86085,0.83022,0.8809,0.68169,0.88039,0.84888,0.90614,0.83922,0.84442,0.30896,0.37476,0.96614,0.98253,0.0014852,0.0014852,0.0014852
41,370.298,0.85258,0.42083,0.07176,0.5441,0.92091,0.89026,0.91045,0.93431,0.73237,0.90184,0.92164,0.95381,0.8837,0.84253,0.31069,0.34411,0.65922,0.97827,0.001472,0.001472,0.001472
42,379.15,0.83148,0.40477,0.05874,0.53216,0.92637,0.91658,0.93097,0.95268,0.75623,0.93145,0.9459,0.97281,0.90616,0.83404,0.26116,0.36731,0.64553,0.96851,0.0014588,0.0014588,0.0014588
43,388.377,0.83099,0.43099,0.07866,0.54665,0.91034,0.93751,0.88993,0.94178,0.7388,0.95162,0.90299,0.96008,0.88599,0.86621,0.29915,0.32849,0.7072,0.982,0.0014456,0.0014456,0.0014456
44,397.09,0.84957,0.43021,0.07659,0.53761,0.91668,0.91066,0.89925,0.93603,0.71926,0.93085,0.91604,0.95655,0.89255,0.88981,0.28623,0.34751,0.75626,1.00247,0.0014324,0.0014324,0.0014324
45,405.993,0.80642,0.36442,0.06803,0.51636,0.91123,0.92771,0.90981,0.93566,0.74606,0.94483,0.9266,0.95864,0.89581,0.82414,0.27214,0.35706,0.67593,0.96809,0.0014192,0.0014192,0.0014192
46,414.683,0.81103,0.41401,0.0715,0.52059,0.9058,0.93218,0.89179,0.93151,0.7427,0.9479,0.90672,0.95134,0.87703,0.82086,0.31837,0.3815,0.64455,0.96324,0.001406,0.001406,0.001406
47,423.403,0.83423,0.3678,0.08079,0.52976,0.8938,0.90708,0.88993,0.93334,0.72111,0.92432,0.90485,0.95841,0.89439,0.93341,0.30086,0.35351,0.65891,1.00661,0.0013928,0.0013928,0.0013928
48,432.117,0.80995,0.37601,0.07054,0.50792,0.91251,0.90464,0.92537,0.94649,0.75784,0.91959,0.93884,0.96448,0.90519,0.85946,0.26248,0.38238,0.74317,0.9744,0.0013796,0.0013796,0.0013796
49,441.568,0.81808,0.37202,0.0801,0.5045,0.91361,0.91777,0.8746,0.92822,0.70704,0.93732,0.89275,0.94921,0.87654,0.96013,0.32758,0.37883,0.80482,1.01582,0.0013664,0.0013664,0.0013664
50,450.134,0.82467,0.40269,0.07399,0.51451,0.91051,0.92394,0.91791,0.94158,0.74081,0.94204,0.93996,0.96749,0.90429,0.89969,0.27602,0.3851,0.64316,0.98603,0.0013532,0.0013532,0.0013532
51,458.816,0.80907,0.36812,0.07072,0.52842,0.91175,0.88662,0.9291,0.94644,0.74974,0.90169,0.94403,0.96622,0.911,0.86101,0.26789,0.33631,0.69987,0.97845,0.00134,0.00134,0.00134
