epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,279.429,0.93272,0.45292,0.07689,0.6089,0.98061,0.86877,0.91418,0.92061,0.69451,0.87844,0.92537,0.94021,0.86648,0.92655,0.33363,0.34194,0.78354,1.04156,0.0016568,0.0016568,0.0016568
28,289.557,0.91521,0.46053,0.08184,0.58271,0.9603,0.92731,0.86007,0.92495,0.69867,0.93914,0.87127,0.94493,0.86246,0.94776,0.35148,0.32707,0.76769,1.03724,0.0016436,0.0016436,0.0016436
29,299.737,0.93376,0.49638,0.08534,0.62373,0.9604,0.91296,0.91231,0.93548,0.7277,0.92825,0.92724,0.95809,0.89108,0.9049,0.29054,0.322,0.68951,1.02339,0.0016304,0.0016304,0.0016304
30,310.415,0.90896,0.44698,0.09234,0.61255,0.96761,0.93416,0.90672,0.92519,0.71385,0.94073,0.91418,0.93645,0.85568,0.89994,0.32772,0.27419,0.78063,1.03253,0.0016172,0.0016172,0.0016172
31,320.711,0.91174,0.48469,0.08946,0.59135,0.96824,0.92244,0.89739,0.93285,0.73566,0.93375,0.90858,0.94867,0.89535,0.82356,0.27121,0.29165,0.87514,0.99253,0.001604,0.001604,0.001604
32,331.427,0.89788,0.44262,0.08446,0.6014,0.95396,0.87808,0.81903,0.87896,0.67063,0.92877,0.80597,0.90282,0.83615,0.92601,0.36098,0.23677,1.05184,1.05185,0.0015908,0.0015908,0.0015908
33,341.536,0.90173,0.4743,0.08234,0.60085,0.97024,0.91351,0.8806,0.92288,0.71774,0.95134,0.87873,0.94667,0.87349,0.86045,0.32566,0.35066,0.75956,1.00624,0.0015776,0.0015776,0.0015776
34,351.345,0.9068,0.40435,0.08922,0.57118,0.94695,0.93904,0.89096,0.94865,0.7532,0.94887,0.90029,0.96257,0.90133,0.84514,0.26999,0.35548,0.73781,0.99089,0.0015644,0.0015644,0.0015644
35,361.94,0.87806,0.46571,0.07714,0.59032,0.95773,0.90609,0.90007,0.92655,0.72533,0.91734,0.91106,0.94283,0.87126,0.8606,0.35051,0.36873,0.7429,0.99031,0.0015512,0.0015512,0.0015512
36,371.99,0.86074,0.41099,0.08291,0.56254,0.95243,0.88763,0.90485,0.93205,0.72162,0.89075,0.91604,0.95237,0.86987,0.86966,0.35033,0.33201,0.73691,1.00891,0.001538,0.001538,0.001538
37,382.054,0.84541,0.43566,0.09121,0.54044,0.94568,0.87914,0.86007,0.89309,0.67414,0.89334,0.87506,0.91516,0.85253,0.87951,0.3154,0.39451,0.99671,1.01155,0.0015248,0.0015248,0.0015248
38,391.775,0.86015,0.39687,0.08138,0.55241,0.9546,0.91792,0.91802,0.94883,0.75199,0.92712,0.92558,0.96262,0.90837,0.80107,0.25513,0.36407,0.66856,0.98271,0.0015116,0.0015116,0.0015116
39,402.601,0.86351,0.41024,0.08263,0.55283,0.95534,0.93973,0.88619,0.93568,0.73355,0.94326,0.89947,0.95453,0.89635,0.8719,0.30009,0.36333,0.69385,0.9985,0.0014984,0.0014984,0.0014984
40,413.127,0.88205,0.38985,0.07553,0.55561,0.948,0.89444,0.85261,0.89093,0.66851,0.92184,0.87873,0.92594,0.85385,0.93262,0.35219,0.3928,0.80607,1.05312,0.0014852,0.0014852,0.0014852
41,423.291,0.84204,0.4042,0.07397,0.53548,0.94107,0.90554,0.89431,0.92931,0.73113,0.91688,0.9055,0.95258,0.88181,0.84113,0.31364,0.3476,0.66632,0.99301,0.001472,0.001472,0.001472
42,433.398,0.83321,0.41094,0.06093,0.52598,0.9415,0.91727,0.91791,0.9366,0.75652,0.93194,0.93284,0.95596,0.90513,0.75773,0.25054,0.4499,0.62375,0.96374,0.0014588,0.0014588,0.0014588
43,444.067,0.83222,0.42851,0.08104,0.54534,0.93608,0.87008,0.88708,0.9195,0.72382,0.88222,0.90112,0.93616,0.8661,0.79631,0.29776,0.37999,0.91825,0.96916,0.0014456,0.0014456,0.0014456
44,454.105,0.82585,0.41766,0.08045,0.53283,0.92894,0.9322,0.87219,0.91938,0.70775,0.94616,0.88525,0.94441,0.87751,0.87222,0.32541,0.36162,0.79424,1.00897,0.0014324,0.0014324,0.0014324
45,464.508,0.8184,0.35438,0.06936,0.52985,0.94145,0.93277,0.91978,0.94601,0.76803,0.94094,0.9291,0.96029,0.90611,0.7509,0.26192,0.39799,0.68977,0.95263,0.0014192,0.0014192,0.0014192
46,475.652,0.79959,0.3855,0.0703,0.51555,0.91986,0.93809,0.87633,0.93607,0.73999,0.95208,0.88993,0.95427,0.88268,0.81464,0.30804,0.43079,0.63211,0.9762,0.001406,0.001406,0.001406
47,486.26,0.80295,0.36588,0.08131,0.51931,0.91504,0.93223,0.92537,0.93518,0.75174,0.94463,0.93843,0.95919,0.90337,0.78705,0.27191,0.33533,0.68046,0.96799,0.0013928,0.0013928,0.0013928
48,496.611,0.81427,0.37222,0.07382,0.51691,0.9286,0.90491,0.92318,0.93893,0.74893,0.91923,0.93425,0.95806,0.90859,0.84509,0.25453,0.42109,0.69119,0.98662,0.0013796,0.0013796,0.0013796
49,507.009,0.7814,0.3722,0.08277,0.49967,0.92948,0.92645,0.91654,0.94275,0.76559,0.93968,0.93008,0.96487,0.90616,0.76438,0.26918,0.36127,0.69222,0.97087,0.0013664,0.0013664,0.0013664
50,517.524,0.78998,0.3977,0.07695,0.50693,0.92424,0.93272,0.91418,0.95221,0.77113,0.94515,0.93236,0.96841,0.90916,0.75687,0.26537,0.35454,0.61309,0.9631,0.0013532,0.0013532,0.0013532
51,528.26,0.78701,0.34315,0.0691,0.52255,0.92109,0.88243,0.92164,0.93033,0.73853,0.89788,0.9291,0.94978,0.89071,0.82825,0.26703,0.39109,0.62228,0.98121,0.00134,0.00134,0.00134
52,538.515,0.78018,0.38596,0.07654,0.52505,0.922,0.86199,0.91418,0.93664,0.74559,0.87783,0.93097,0.9556,0.88645,0.80773,0.30286,0.38744,0.70789,0.97015,0.0013268,0.0013268,0.0013268
53,548.812,0.77973,0.37302,0.07476,0.50281,0.91805,0.92176,0.91418,0.95063,0.7666,0.91842,0.93843,0.96455,0.91185,0.77195,0.27579,0.34952,0.64506,0.96064,0.0013136,0.0013136,0.0013136
