run,results_csv,epochs,map_col,final_map,best_map,weights,size_mb,params_m,gpu0_avg_ms,gpu0_med_ms,gpu0_min_ms,gpu0_max_ms,gpu0_fps,gpu0_det_rate,gpu0_avg_dets,gpu0_avg_conf
optuna_0002,runs/pose/optuna_0002/results.csv,25,metrics/mAP50-95(P),0.924,0.924,runs/pose/optuna_0002/weights/best.pt,18.832764625549316,9.71515,28.713420405983925,35.36945674568415,12.653978541493416,52.95888148248196,34.826920160009855,0.85,0.975,0.8128422209445167
optuna_0012,runs/pose/optuna_0012/results.csv,25,metrics/mAP50-95(P),0.91574,0.91574,runs/pose/optuna_0012/weights/best.pt,18.841126441955566,9.71515,25.53207790479064,20.09625267237425,12.148553505539894,43.1872121989727,39.166416604594794,0.85,0.95,0.8257453161127427
optuna_0022,runs/pose/optuna_0022/results.csv,25,metrics/mAP50-95(P),0.9236,0.92431,runs/pose/optuna_0022/weights/best.pt,18.852662086486816,9.71515,31.90110269933939,36.17804031819105,13.293210417032242,69.4164726883173,31.34687880305492,0.875,1.0,0.8322800562495276
optuna_0032,runs/pose/optuna_0032/results.csv,25,metrics/mAP50-95(P),0.91655,0.91825,runs/pose/optuna_0032/weights/best.pt,18.831055641174316,9.71515,30.205755960196257,34.75035075098276,11.644810438156128,52.894651889801025,33.10627290102435,0.85,0.95,0.8064209928407389
optuna_0042,runs/pose/optuna_0042/results.csv,25,metrics/mAP50-95(P),0.92429,0.92429,runs/pose/optuna_0042/weights/best.pt,18.841126441955566,9.71515,27.140606846660376,25.501150637865067,11.472029611468315,54.703861474990845,36.84515993506788,0.85,0.95,0.8303451958824607
optuna_0052,runs/pose/optuna_0052/results.csv,25,metrics/mAP50-95(P),0.92118,0.92118,runs/pose/optuna_0052/weights/best.pt,18.847779273986816,9.71515,27.830879110842943,28.021815232932568,12.01249286532402,55.65546825528145,35.93131197966358,0.875,1.0,0.8185681483575276
optuna_0062,runs/pose/optuna_0062/results.csv,25,metrics/mAP50-95(P),0.9205,0.92318,runs/pose/optuna_0062/weights/best.pt,18.857850074768066,9.71515,29.009590344503522,35.837617702782154,12.57813535630703,66.98059849441051,34.47135888940504,0.875,1.05,0.822261808315913
pogona_head_pose2,runs/pose/pogona_head_pose2/results.csv,150,metrics/mAP50-95(P),0.91738,0.92661,runs/pose/pogona_head_pose2/weights/best.pt,18.856568336486816,9.71515,24.5462354272604,20.24156879633665,11.438220739364624,38.19538280367851,40.73944466813948,0.85,0.95,0.8539731428027153
pogona_head_pose3,runs/pose/pogona_head_pose3/results.csv,150,metrics/mAP50-95(P),0.91967,0.93159,runs/pose/pogona_head_pose3/weights/best.pt,18.864930152893066,9.71515,27.441199496388435,34.717921167612076,12.017352506518364,50.29430612921715,36.441555702826,0.85,0.95,0.8829383525778266
