epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.61241,1.48708,0.76801,0.15543,0.86498,1.31627,0.86121,0.69809,0.75233,0.41143,0.91527,0.74265,0.84785,0.60704,1.90784,1.17567,0.01819,1.20186,1.79787,0.000654762,0.000654762,0.000654762
2,16.4712,1.49073,0.75898,0.17615,0.89106,1.29328,0.84527,0.75117,0.79985,0.41206,0.87943,0.77496,0.83353,0.56527,1.86322,1.0725,0.03387,1.12737,1.76309,0.00125602,0.00125602,0.00125602
3,23.9552,1.46412,0.73956,0.1316,0.90486,1.28784,0.88269,0.79944,0.84716,0.42342,0.85055,0.8375,0.88367,0.62086,1.88743,1.00753,0.02261,1.22787,1.76007,0.00179127,0.00179127,0.00179127
4,32.5674,1.5231,0.73135,0.16036,0.92368,1.31302,0.77166,0.7,0.70887,0.32217,0.85341,0.76412,0.83111,0.58898,1.92547,0.93376,0.03488,1.86491,1.82912,0.001703,0.001703,0.001703
5,39.813,1.44406,0.68822,0.1613,0.87035,1.26989,0.82566,0.7,0.78234,0.3971,0.88218,0.75,0.87449,0.64478,1.92545,0.9593,0.02588,1.15986,1.88543,0.001604,0.001604,0.001604
6,47.0092,1.44486,0.64096,0.11488,0.85495,1.27273,0.84338,0.60579,0.66078,0.30704,0.90613,0.65625,0.76676,0.56023,1.98437,0.94383,0.02501,1.54965,1.81137,0.001505,0.001505,0.001505
7,54.3226,1.41137,0.66399,0.17468,0.85614,1.25556,0.84916,0.6625,0.71745,0.3194,0.92749,0.725,0.81193,0.6441,2.01499,0.86483,0.02114,1.6129,2.0157,0.001406,0.001406,0.001406
8,61.5037,1.30941,0.61715,0.1393,0.7796,1.20959,0.76013,0.70625,0.73932,0.38847,0.81657,0.7625,0.83666,0.60855,1.90959,0.98452,0.03437,1.34078,1.89099,0.001307,0.001307,0.001307
