epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92726,1.29195,1.28196,0.62013,1.32008,1.09163,0.30571,0.46341,0.30392,0.18844,0.29195,0.46341,0.32284,0.16651,1.41774,1.60265,0.56343,2.29948,1.29759,0.00026,0.00026,0.00026
2,7.59894,1.22113,1.26294,0.60212,1.32513,1.06719,0.46867,0.17073,0.19478,0.11999,0.46867,0.17073,0.20964,0.12447,1.5811,1.72673,0.57956,2.98687,1.38587,0.00051327,0.00051327,0.00051327
3,10.81,1.22364,1.29058,0.60294,1.15932,1.10358,0.563,0.2439,0.21709,0.12563,0.563,0.2439,0.23685,0.14842,1.83749,1.67394,0.56996,2.77761,1.55625,0.00073882,0.00073882,0.00073882
4,14.1184,1.26825,1.30424,0.58183,1.2044,1.08277,0.5921,0.19512,0.19595,0.08484,0.5921,0.19512,0.20308,0.15847,1.90374,1.66379,0.5405,3.03658,1.61183,0.00093665,0.00093665,0.00093665
5,17.3257,1.24775,1.35606,0.55137,1.08973,1.07863,0.57802,0.21951,0.23542,0.16398,0.57802,0.21951,0.23832,0.18816,1.78868,1.61721,0.51477,2.9649,1.46771,0.00110676,0.00110676,0.00110676
6,20.5231,1.29492,1.25631,0.52577,1.14531,1.15048,0.31166,0.09756,0.08826,0.04657,0.3181,0.09756,0.08566,0.0522,2.48586,3.16229,0.78558,3.45534,1.8726,0.00124915,0.00124915,0.00124915
