epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2775,1.8876,2.19442,0.45804,3.2605,1.41988,0.77161,0.71828,0.7835,0.48143,0.78319,0.71828,0.80093,0.51769,1.32617,1.29017,0.3274,1.34266,1.28193,0.000659176,0.000659176,0.000659176
2,22.6102,1.44357,1.18928,0.19438,1.23565,1.17911,0.66602,0.55224,0.61627,0.3401,0.70645,0.58769,0.67552,0.51522,1.74074,1.00283,0.26357,2.06041,1.45961,0.00127334,0.00127334,0.00127334
3,32.1865,1.38704,1.05491,0.17954,1.21818,1.16656,0.28612,0.22948,0.1531,0.06235,0.34094,0.26679,0.20558,0.13566,2.27939,2.74994,0.38599,4.28445,1.93723,0.0018347,0.0018347,0.0018347
4,41.5567,1.33903,0.92536,0.16252,1.07077,1.1537,0.57145,0.42537,0.48689,0.23928,0.64765,0.54104,0.6283,0.44733,2.04115,1.19763,0.21678,2.18322,1.65827,0.0017624,0.0017624,0.0017624
5,51.0194,1.28531,0.76268,0.13961,1.01366,1.11905,0.71572,0.71396,0.75188,0.45226,0.77435,0.77466,0.84857,0.68162,1.49858,0.78426,0.24756,1.97213,1.42171,0.0016832,0.0016832,0.0016832
6,60.3924,1.21699,0.80244,0.13895,0.90463,1.08984,0.88949,0.86754,0.90717,0.64461,0.89614,0.8854,0.93353,0.79084,1.13943,0.50264,0.27844,1.15907,1.1559,0.001604,0.001604,0.001604
7,70.0424,1.20695,0.69115,0.1367,0.89886,1.09205,0.83588,0.63806,0.77058,0.52017,0.85148,0.65485,0.79991,0.72035,1.19931,0.50152,0.25086,1.49702,1.17554,0.0015248,0.0015248,0.0015248
8,79.052,1.18245,0.67577,0.11596,0.84962,1.05791,0.9448,0.76645,0.92024,0.64347,0.95411,0.77582,0.93394,0.84106,1.14977,0.40999,0.23061,1.09072,1.15608,0.0014456,0.0014456,0.0014456
9,88.4774,1.13381,0.6678,0.11847,0.76648,1.05704,0.8959,0.867,0.89969,0.64626,0.89751,0.88619,0.9202,0.82746,1.0102,0.40012,0.27824,0.90388,1.09281,0.0013664,0.0013664,0.0013664
10,97.4657,1.08971,0.58795,0.12454,0.7214,1.03939,0.86752,0.86754,0.90258,0.62263,0.87618,0.87687,0.92855,0.82934,1.20737,0.44752,0.26037,1.1878,1.19381,0.0012872,0.0012872,0.0012872
