epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.067,1.97008,2.28461,0.47337,3.35106,1.40874,0.72988,0.64552,0.73165,0.43515,0.7416,0.65112,0.76121,0.5326,1.37805,1.18312,0.31073,2.34684,1.25524,0.000659176,0.000659176,0.000659176
2,19.9908,1.52677,1.27528,0.20196,1.30806,1.17877,0.59947,0.40211,0.45053,0.27516,0.61026,0.40898,0.46354,0.35099,1.38771,1.56912,0.38474,1.89605,1.26732,0.00127334,0.00127334,0.00127334
3,29.0619,1.45025,1.12829,0.19207,1.21478,1.13965,0.63731,0.62127,0.67753,0.43449,0.63854,0.6194,0.68302,0.50694,1.4204,0.90824,0.25545,2.18631,1.25884,0.0018347,0.0018347,0.0018347
4,38.0967,1.39786,0.96397,0.1707,1.12084,1.11954,0.75273,0.72128,0.75298,0.42599,0.77375,0.74649,0.79601,0.6592,1.46481,0.7393,0.26201,1.62176,1.24991,0.0017624,0.0017624,0.0017624
5,47.677,1.32748,0.82566,0.14139,1.05622,1.10213,0.83625,0.73881,0.8163,0.51801,0.85671,0.75852,0.85748,0.73508,1.35182,0.65651,0.25189,1.89614,1.25238,0.0016832,0.0016832,0.0016832
6,57.2459,1.2885,0.85688,0.14665,0.9502,1.08263,0.76905,0.7517,0.78835,0.49342,0.79555,0.78172,0.83269,0.71116,1.31088,0.58797,0.27254,1.40619,1.1817,0.001604,0.001604,0.001604
7,66.21,1.22276,0.7677,0.13845,0.91501,1.06904,0.76938,0.875,0.84101,0.59007,0.77653,0.89179,0.85581,0.76023,1.11286,0.4635,0.24737,1.34953,1.10872,0.0015248,0.0015248,0.0015248
8,75.694,1.1758,0.69453,0.11739,0.87431,1.03636,0.90969,0.8833,0.93476,0.66332,0.927,0.90025,0.95701,0.86273,1.16806,0.42596,0.27311,1.00217,1.10051,0.0014456,0.0014456,0.0014456
9,85.0827,1.14779,0.69255,0.11573,0.7953,1.02414,0.82955,0.74457,0.81837,0.53957,0.84268,0.77985,0.85182,0.75185,1.26925,0.51163,0.28516,1.29435,1.17769,0.0013664,0.0013664,0.0013664
10,93.8417,1.0874,0.61441,0.12458,0.76204,1.00705,0.85662,0.85634,0.91441,0.63532,0.86903,0.86754,0.92644,0.83618,1.12057,0.4806,0.28479,0.92972,1.0793,0.0012872,0.0012872,0.0012872
11,102.928,1.06494,0.57352,0.10374,0.71402,0.98366,0.88025,0.83955,0.89513,0.58388,0.90582,0.86381,0.9234,0.81249,1.18262,0.43163,0.26768,1.04236,1.1167,0.001208,0.001208,0.001208
12,111.7,1.08115,0.57875,0.10424,0.72542,1.00671,0.947,0.90015,0.94853,0.72446,0.95349,0.91797,0.96672,0.89792,0.9279,0.32618,0.25727,0.86196,1.02059,0.0011288,0.0011288,0.0011288
13,121.003,1.03017,0.61044,0.1168,0.6651,0.98251,0.90243,0.84515,0.915,0.68379,0.92152,0.86194,0.93804,0.84672,0.94972,0.39091,0.25411,1.01693,1.02279,0.0010496,0.0010496,0.0010496
14,129.905,0.98205,0.53903,0.0899,0.68318,0.96298,0.9333,0.88806,0.94127,0.71985,0.9507,0.90485,0.9635,0.89127,0.92704,0.31608,0.22502,0.87962,1.00764,0.0009704,0.0009704,0.0009704
15,138.609,1.00909,0.46927,0.10582,0.66395,0.97984,0.9139,0.83396,0.91401,0.65049,0.9359,0.85448,0.94468,0.86472,1.03649,0.36263,0.28166,0.87581,1.0515,0.0008912,0.0008912,0.0008912
16,148.163,0.94773,0.45245,0.04338,0.61426,0.9955,0.92105,0.92164,0.95112,0.72139,0.93224,0.93284,0.96785,0.89419,0.90971,0.29979,0.26809,0.8167,1.01088,0.000812,0.000812,0.000812
17,156.64,0.91146,0.41584,0.02064,0.59531,0.97641,0.88682,0.86567,0.9342,0.70163,0.85587,0.93284,0.95338,0.88567,0.95039,0.31248,0.29228,1.26146,1.0182,0.0007328,0.0007328,0.0007328
18,164.886,0.90509,0.43055,0.02778,0.58123,0.98503,0.92608,0.88823,0.95367,0.73793,0.94347,0.90292,0.96611,0.91219,0.87368,0.27011,0.27316,0.98621,0.9866,0.0006536,0.0006536,0.0006536
