epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.39045,1.62453,1.35593,0.5561,2.01871,1.26816,0.44958,0.35288,0.29084,0.18063,0.47767,0.45455,0.33268,0.21965,1.56612,1.20879,0.43961,2.21564,1.3556,0.000651163,0.000651163,0.000651163
2,12.6682,1.56327,1.38625,0.57014,1.95845,1.26578,0.72164,0.15909,0.16944,0.11965,0.72164,0.15909,0.1783,0.15053,1.75677,1.28229,0.42476,2.86393,1.44208,0.0012526,0.0012526,0.0012526
3,18.4566,1.66655,1.4978,0.51515,2.35776,1.36341,0.01817,0.22727,0.01021,0.00499,0.01973,0.25,0.01169,0.00733,1.69157,1.52116,0.34909,5.89491,1.44978,0.00178803,0.00178803,0.00178803
4,24.0595,1.63931,1.36767,0.45138,1.97175,1.27803,0.49984,0.22727,0.21907,0.12907,0.49984,0.22727,0.23044,0.1738,1.75706,1.80886,0.45373,3.41666,1.37019,0.001703,0.001703,0.001703
5,30.4648,1.48546,1.14932,0.35658,2.01965,1.27803,0.24319,0.15909,0.11283,0.07223,0.27793,0.18182,0.15157,0.09316,1.52461,1.35903,0.26195,2.65166,1.28361,0.001604,0.001604,0.001604
6,36.027,1.39725,1.09624,0.30474,1.8154,1.21061,0.42243,0.3159,0.28158,0.14412,0.50008,0.45455,0.3779,0.22273,1.5206,1.2542,0.20465,1.92673,1.227,0.001505,0.001505,0.001505
