epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8919,1.87984,2.19384,0.45272,3.27384,1.43091,0.72351,0.61194,0.6698,0.38834,0.72131,0.61007,0.67722,0.39739,1.41459,1.41292,0.32237,1.76739,1.31038,0.000659176,0.000659176,0.000659176
2,22.6045,1.45763,1.18998,0.19291,1.25412,1.18976,0.35302,0.42724,0.24203,0.13946,0.36227,0.43843,0.26377,0.17061,1.64831,1.34108,0.32023,2.64674,1.433,0.00127334,0.00127334,0.00127334
3,31.8856,1.39864,1.05217,0.18064,1.16318,1.17413,0.68546,0.65864,0.71103,0.41304,0.66327,0.6959,0.72379,0.57003,1.45904,0.87907,0.23331,2.10138,1.37549,0.0018347,0.0018347,0.0018347
4,41.9738,1.36877,0.90909,0.16506,1.08453,1.16626,0.74281,0.68433,0.75675,0.49074,0.7411,0.69776,0.77257,0.65937,1.29452,0.68345,0.27529,2.35819,1.23953,0.0017624,0.0017624,0.0017624
5,51.5846,1.28259,0.78298,0.13655,0.98846,1.11529,0.70234,0.54291,0.62596,0.35117,0.80595,0.60821,0.71807,0.58976,1.6186,0.7827,0.22122,1.75566,1.43009,0.0016832,0.0016832,0.0016832
6,60.5975,1.24157,0.83351,0.14278,0.94355,1.1022,0.75069,0.70709,0.74064,0.42538,0.77973,0.74254,0.80606,0.6582,1.52313,0.63878,0.24589,1.56142,1.35942,0.001604,0.001604,0.001604
7,69.4971,1.16781,0.69626,0.1325,0.85633,1.0804,0.86681,0.81351,0.86758,0.61568,0.87669,0.82241,0.88079,0.7644,1.04753,0.54738,0.25582,1.19191,1.09821,0.0015248,0.0015248,0.0015248
8,79.0636,1.18627,0.69231,0.12148,0.84712,1.06692,0.88381,0.87127,0.92392,0.64164,0.88417,0.88619,0.93983,0.84568,1.10238,0.37198,0.26065,1.04349,1.1383,0.0014456,0.0014456,0.0014456
9,88.4691,1.1191,0.66415,0.11608,0.7944,1.0539,0.85876,0.89615,0.914,0.64067,0.8748,0.91255,0.93348,0.85155,1.13171,0.40684,0.2688,0.96155,1.14474,0.0013664,0.0013664,0.0013664
10,98.0857,1.08302,0.61669,0.12059,0.72628,1.03258,0.92951,0.86101,0.93385,0.66794,0.94358,0.87358,0.95023,0.86267,1.07009,0.38933,0.24668,0.87533,1.10022,0.0012872,0.0012872,0.0012872
11,107.642,1.03642,0.57792,0.09946,0.71248,1.01624,0.91501,0.90112,0.92614,0.67155,0.94405,0.91284,0.94829,0.86272,1.09704,0.38406,0.2655,0.82344,1.13029,0.001208,0.001208,0.001208
12,117.277,1.01601,0.56477,0.10259,0.70339,1.01524,0.93365,0.90485,0.93634,0.70185,0.94478,0.91791,0.95412,0.87394,0.96656,0.33121,0.24153,0.8502,1.05485,0.0011288,0.0011288,0.0011288
13,126.968,1.02148,0.58213,0.11407,0.67443,1.00825,0.91454,0.84888,0.92564,0.72102,0.93263,0.86567,0.94188,0.87382,0.88915,0.30174,0.23608,0.8899,1.01732,0.0010496,0.0010496,0.0010496
