epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1061.3,1.03093,0.52589,0,0.74136,1.02609,0.96004,0.90997,0.96202,0.74692,0.96374,0.91343,0.96017,0.90499,0.68059,0.31696,0,0.74226,0.80077,0.00922242,0.00922242,0.00922242
29,1073.59,1.01358,0.57041,0,0.7182,1.02377,0.93157,0.80138,0.8983,0.66765,0.93027,0.79986,0.89715,0.82077,0.80372,0.45768,0,2.52509,0.85711,0.00916544,0.00916544,0.00916544
30,1085.22,1.05478,0.55519,0,0.74103,1.04143,0.94642,0.89889,0.95514,0.71989,0.95091,0.90374,0.95603,0.89605,0.7571,0.32177,0,1.21846,0.84029,0.00910664,0.00910664,0.00910664
31,1129.15,1.00472,0.52558,0,0.7097,1.01627,0.94492,0.89107,0.953,0.73441,0.94235,0.89421,0.94992,0.88836,0.73952,0.36726,0,0.67482,0.81501,0.00904604,0.00904604,0.00904604
32,1141.92,1.01191,0.53499,0,0.71469,1.02076,0.94545,0.91221,0.96222,0.75833,0.94617,0.91302,0.95995,0.89487,0.68503,0.32443,0,1.95793,0.79994,0.00898367,0.00898367,0.00898367
33,1152.98,0.99318,0.51594,0,0.73852,1.00801,0.94659,0.90512,0.96302,0.76585,0.95129,0.90624,0.96089,0.90687,0.63482,0.29397,0,0.60375,0.78734,0.00891955,0.00891955,0.00891955
34,1164.33,0.98645,0.48469,0,0.69256,1.00464,0.95258,0.91482,0.96346,0.76233,0.95386,0.91629,0.96089,0.90407,0.64572,0.32259,0,0.62584,0.7861,0.00885371,0.00885371,0.00885371
35,1179.11,0.98971,0.53404,0,0.69743,1.00862,0.93365,0.91601,0.95936,0.75374,0.93503,0.91692,0.95772,0.90199,0.6694,0.30255,0,0.76636,0.79574,0.00878619,0.00878619,0.00878619
36,1189.68,1.00712,0.5286,0,0.73128,1.02578,0.95292,0.91759,0.96787,0.77153,0.95655,0.92105,0.96701,0.91294,0.63603,0.30632,0,0.6596,0.78204,0.00871701,0.00871701,0.00871701
37,1201.2,0.98953,0.54234,0,0.70034,1.00127,0.9519,0.89088,0.95825,0.75055,0.95334,0.89335,0.95844,0.90863,0.6687,0.3155,0,0.73475,0.80353,0.0086462,0.0086462,0.0086462
38,1212.31,0.97519,0.48567,0,0.68021,0.99667,0.94791,0.91996,0.96239,0.76961,0.95004,0.92187,0.96011,0.89834,0.64999,0.32555,0,0.74924,0.78449,0.00857379,0.00857379,0.00857379
39,1242.81,0.97905,0.48808,0,0.68252,1.00817,0.95255,0.91066,0.96483,0.77533,0.95583,0.91551,0.96006,0.90996,0.61011,0.28842,0,0.91858,0.77253,0.00849982,0.00849982,0.00849982
40,1266.36,0.98448,0.51568,0,0.69253,1.00616,0.95499,0.91101,0.96995,0.769,0.95244,0.91522,0.96314,0.91545,0.66192,0.29089,0,0.83597,0.79141,0.00842431,0.00842431,0.00842431
41,1277.78,0.97435,0.50766,0,0.69317,1.01052,0.9459,0.91967,0.97046,0.78779,0.95196,0.92521,0.96688,0.91525,0.57714,0.30911,0,0.63561,0.75979,0.00834731,0.00834731,0.00834731
42,1290.1,0.94851,0.49848,0,0.64876,0.99611,0.95745,0.91932,0.97093,0.77708,0.95309,0.9169,0.9637,0.9116,0.61123,0.29284,0,0.81204,0.76936,0.00826884,0.00826884,0.00826884
43,1384.26,0.96774,0.46053,0,0.65467,0.99863,0.95709,0.92936,0.97287,0.79081,0.95861,0.93017,0.96914,0.92219,0.59916,0.2801,0,0.76624,0.76175,0.00818893,0.00818893,0.00818893
44,1488.64,0.94761,0.48701,0,0.6542,0.99341,0.95737,0.9259,0.9715,0.78935,0.9594,0.92244,0.96729,0.9157,0.59832,0.27445,0,0.69005,0.76489,0.00810763,0.00810763,0.00810763
45,1595.5,0.9182,0.44489,0,0.64269,0.98464,0.95874,0.92521,0.96759,0.77274,0.96123,0.92717,0.9635,0.91348,0.64175,0.28168,0,0.72488,0.77261,0.00802497,0.00802497,0.00802497
46,1696.37,0.93983,0.47784,0,0.64726,1.00182,0.9458,0.92244,0.97136,0.78573,0.95016,0.92659,0.96738,0.91768,0.61697,0.28323,0,0.87319,0.7734,0.00794099,0.00794099,0.00794099
47,1801.93,0.92583,0.46215,0,0.65245,0.99545,0.96252,0.92313,0.97236,0.78505,0.95996,0.92982,0.96722,0.91973,0.62615,0.28301,0,0.62827,0.76781,0.00785571,0.00785571,0.00785571
48,1906.51,0.91966,0.45761,0,0.61843,0.9747,0.96181,0.92436,0.97415,0.79905,0.96113,0.92313,0.96446,0.91517,0.58169,0.29035,0,0.55108,0.75731,0.00776919,0.00776919,0.00776919
49,1936.45,0.9197,0.43975,0,0.62134,0.97511,0.95312,0.92244,0.96838,0.77562,0.95761,0.92729,0.96371,0.9179,0.63671,0.31769,0,0.78777,0.7726,0.00768145,0.00768145,0.00768145
50,1948.26,0.92139,0.48822,0,0.6392,0.9816,0.9572,0.92936,0.96946,0.79217,0.95792,0.93006,0.96682,0.91556,0.57676,0.28786,0,0.79581,0.75634,0.00759254,0.00759254,0.00759254
51,1959.3,0.89149,0.43088,0,0.61176,0.97497,0.95651,0.93283,0.97238,0.79744,0.95397,0.93281,0.96667,0.91905,0.58012,0.27187,0,0.78857,0.75871,0.0075025,0.0075025,0.0075025
52,1975.1,0.89899,0.44876,0,0.61804,0.97425,0.95774,0.92521,0.97431,0.80237,0.95686,0.92659,0.96891,0.91943,0.56481,0.27396,0,0.7732,0.74927,0.00741136,0.00741136,0.00741136
53,1986.2,0.92524,0.46402,0,0.62052,0.99117,0.95416,0.92246,0.97171,0.79493,0.95276,0.92184,0.9634,0.91168,0.60589,0.28679,0,0.54892,0.76533,0.00731916,0.00731916,0.00731916
54,1997.6,0.89642,0.45635,0,0.60826,0.975,0.95437,0.92313,0.96989,0.80407,0.95686,0.9259,0.96553,0.91987,0.5887,0.26535,0,0.56666,0.75573,0.00722595,0.00722595,0.00722595
55,2009.48,0.87099,0.42205,0,0.5891,0.96094,0.95738,0.93629,0.97743,0.81366,0.96154,0.93975,0.97658,0.93164,0.55952,0.2608,0,0.46849,0.74852,0.00713177,0.00713177,0.00713177
56,2020.76,0.88508,0.43021,0,0.60179,0.97257,0.91848,0.92175,0.96494,0.79636,0.91394,0.91932,0.95816,0.9121,0.5805,0.27013,0,0.71355,0.75857,0.00703665,0.00703665,0.00703665
57,2062.27,0.88463,0.43675,0,0.59746,0.98074,0.96615,0.92899,0.97612,0.81827,0.96615,0.92899,0.9707,0.92811,0.54918,0.25889,0,0.56212,0.74439,0.00694064,0.00694064,0.00694064
58,2073.45,0.85016,0.43498,0,0.58487,0.95668,0.96625,0.92936,0.9788,0.82072,0.96396,0.92729,0.97084,0.92447,0.54685,0.26601,0,0.45108,0.74275,0.00684378,0.00684378,0.00684378
59,2084.83,0.88504,0.44384,0,0.61136,0.97247,0.96811,0.92517,0.97835,0.81457,0.96561,0.92452,0.97322,0.92872,0.55199,0.2604,0,0.62425,0.74733,0.00674612,0.00674612,0.00674612
60,2096.34,0.85399,0.40582,0,0.59263,0.96128,0.96309,0.91967,0.97624,0.81668,0.96236,0.91898,0.96587,0.92361,0.54937,0.26139,0,0.47185,0.74541,0.00664769,0.00664769,0.00664769
61,2120.39,0.86619,0.42942,0,0.58481,0.96526,0.95945,0.93421,0.97388,0.80397,0.95269,0.93439,0.96737,0.91974,0.57951,0.26919,0,0.60601,0.75377,0.00654854,0.00654854,0.00654854
62,2132.19,0.84339,0.46644,0,0.5722,0.96108,0.96081,0.93075,0.97539,0.81267,0.96152,0.93144,0.96939,0.92114,0.52952,0.27495,0,0.56938,0.73855,0.00644871,0.00644871,0.00644871
63,2219.09,0.8499,0.42545,0,0.57473,0.96722,0.95919,0.9277,0.97445,0.81093,0.9626,0.92673,0.96895,0.92781,0.55523,0.26059,0,0.58926,0.74199,0.00634825,0.00634825,0.00634825
64,2314.56,0.85549,0.41487,0,0.58196,0.95709,0.96316,0.93421,0.98036,0.82266,0.96459,0.9356,0.97643,0.93506,0.54482,0.25651,0,0.50487,0.74185,0.00624721,0.00624721,0.00624721
65,2414.28,0.84751,0.43547,0,0.57272,0.95521,0.96574,0.93713,0.97881,0.82573,0.96432,0.93574,0.97398,0.93066,0.51908,0.25665,0,0.67796,0.73408,0.00614561,0.00614561,0.00614561
66,2510.23,0.85484,0.41569,0,0.57322,0.96237,0.96635,0.93837,0.97869,0.81757,0.96578,0.93837,0.97104,0.929,0.54991,0.25921,0,0.49485,0.7454,0.00604352,0.00604352,0.00604352
67,2608.62,0.82187,0.43276,0,0.55674,0.94541,0.96496,0.93213,0.97629,0.81919,0.96782,0.93729,0.97436,0.9288,0.53317,0.25817,0,0.52107,0.73537,0.00594097,0.00594097,0.00594097
68,2680.37,0.84023,0.40983,0,0.55568,0.94448,0.96282,0.9326,0.97882,0.8202,0.96496,0.9356,0.97797,0.92597,0.53429,0.26072,0,0.68681,0.73529,0.00583801,0.00583801,0.00583801
69,2692.07,0.8425,0.43287,0,0.56981,0.95235,0.96529,0.92452,0.97155,0.81327,0.96559,0.92521,0.96739,0.92634,0.56239,0.26589,0,0.66381,0.7489,0.00573468,0.00573468,0.00573468
70,2703.58,0.81387,0.40266,0,0.55878,0.9415,0.96687,0.92958,0.97854,0.82551,0.96578,0.92867,0.96954,0.93149,0.50665,0.25478,0,0.70589,0.72555,0.00563104,0.00563104,0.00563104
71,2714.83,0.82321,0.42147,0,0.56848,0.95187,0.96921,0.9373,0.98359,0.83624,0.96706,0.93522,0.97283,0.93586,0.49545,0.24485,0,0.52436,0.72585,0.00552712,0.00552712,0.00552712
72,2729.83,0.84262,0.40846,0,0.54342,0.95283,0.96442,0.93852,0.98242,0.84042,0.96372,0.9383,0.97582,0.93797,0.49687,0.24535,0,0.54978,0.72936,0.00542297,0.00542297,0.00542297
73,2740.83,0.82356,0.40713,0,0.55248,0.95058,0.95825,0.9377,0.98079,0.83433,0.95896,0.93851,0.97419,0.93258,0.48899,0.25242,0,0.43444,0.72534,0.00531864,0.00531864,0.00531864
74,2752.38,0.80573,0.4274,0,0.54811,0.9435,0.9614,0.9259,0.97594,0.81911,0.9624,0.92936,0.97012,0.9309,0.51677,0.24583,0,0.67675,0.73509,0.00521417,0.00521417,0.00521417
75,2776.82,0.79857,0.37859,0,0.54945,0.93309,0.96724,0.92798,0.9807,0.83911,0.96157,0.93562,0.97443,0.9364,0.48624,0.24191,0,0.42157,0.72466,0.00510961,0.00510961,0.00510961
76,2788.05,0.80599,0.36205,0,0.539,0.93935,0.96742,0.93213,0.98138,0.8448,0.96827,0.92991,0.97354,0.93951,0.47825,0.24238,0,0.56571,0.72527,0.005005,0.005005,0.005005
77,2799.26,0.79517,0.38098,0,0.54471,0.94328,0.96235,0.94252,0.98256,0.84161,0.95828,0.93854,0.97191,0.93433,0.49455,0.24851,0,0.64262,0.72337,0.00490039,0.00490039,0.00490039
78,2810.3,0.81622,0.39237,0,0.55661,0.93893,0.96701,0.93376,0.98477,0.84149,0.96773,0.93446,0.97544,0.93485,0.48139,0.24048,0,0.53579,0.71897,0.00479583,0.00479583,0.00479583
79,2824.91,0.79922,0.42888,0,0.54439,0.93907,0.96984,0.93522,0.98362,0.85233,0.96708,0.93582,0.97362,0.93734,0.47123,0.23211,0,0.52329,0.71729,0.00469136,0.00469136,0.00469136
80,2836.57,0.76703,0.39965,0,0.5219,0.93018,0.96911,0.93434,0.98339,0.84999,0.96696,0.93227,0.97079,0.9355,0.45927,0.24767,0,0.49893,0.71566,0.00458703,0.00458703,0.00458703
81,2847.85,0.77995,0.42923,0,0.53151,0.93053,0.96931,0.93629,0.98217,0.84363,0.9656,0.93421,0.97214,0.93322,0.47874,0.24641,0,0.46225,0.71745,0.00448288,0.00448288,0.00448288
82,2859.18,0.78421,0.36013,0,0.53126,0.93159,0.96283,0.93906,0.9836,0.85184,0.96167,0.93828,0.97149,0.93496,0.45915,0.24166,0,0.5668,0.71274,0.00437896,0.00437896,0.00437896
83,2882.66,0.77796,0.38226,0,0.52941,0.9288,0.96861,0.93698,0.98535,0.85065,0.96861,0.93698,0.97547,0.93451,0.47174,0.2376,0,0.54554,0.71548,0.00427532,0.00427532,0.00427532
84,2893.85,0.78917,0.36659,0,0.5279,0.93991,0.96844,0.9351,0.9856,0.85167,0.9651,0.93845,0.97756,0.93981,0.47133,0.24205,0,0.4732,0.71524,0.00417199,0.00417199,0.00417199
85,2976.47,0.7799,0.37323,0,0.52061,0.92991,0.96308,0.9395,0.98208,0.84868,0.96292,0.94183,0.97575,0.93569,0.47536,0.23671,0,0.54514,0.71384,0.00406903,0.00406903,0.00406903
86,3076.73,0.7567,0.35874,0,0.50874,0.91948,0.96822,0.9349,0.98408,0.84694,0.96649,0.93865,0.97845,0.93944,0.46611,0.23076,0,0.50919,0.71315,0.00396648,0.00396648,0.00396648
87,3174.78,0.77667,0.36603,0,0.52023,0.93797,0.96771,0.93399,0.98534,0.85256,0.96771,0.93399,0.97745,0.93938,0.47025,0.22969,0,0.51323,0.7155,0.00386439,0.00386439,0.00386439
88,3269.92,0.76391,0.36402,0,0.51291,0.92407,0.97193,0.93534,0.98611,0.84915,0.97004,0.93352,0.97916,0.94148,0.48086,0.24073,0,0.47479,0.71689,0.00376279,0.00376279,0.00376279
89,3367.03,0.76358,0.35194,0,0.50285,0.92216,0.96939,0.9356,0.98613,0.85594,0.96795,0.93421,0.97474,0.93985,0.45904,0.23139,0,0.5723,0.71125,0.00366175,0.00366175,0.00366175
90,3463.56,0.76333,0.33565,0,0.51343,0.92653,0.96857,0.9389,0.9865,0.85419,0.96706,0.94044,0.97936,0.9399,0.45597,0.23471,0,0.48606,0.71219,0.00356129,0.00356129,0.00356129
91,3474.07,0.75417,0.35707,0,0.5193,0.9307,0.96521,0.94135,0.98668,0.86094,0.9645,0.94065,0.97726,0.94348,0.44672,0.23376,0,0.49852,0.70682,0.00346146,0.00346146,0.00346146
92,3485.08,0.76308,0.37121,0,0.52071,0.93871,0.97191,0.94252,0.98639,0.85562,0.9694,0.94044,0.97638,0.94305,0.44802,0.23227,0,0.4231,0.70959,0.00336231,0.00336231,0.00336231
93,3495.31,0.76461,0.35125,0,0.50129,0.92774,0.96842,0.93432,0.98422,0.85226,0.9677,0.93354,0.97646,0.94212,0.46394,0.23151,0,0.41162,0.71385,0.00326388,0.00326388,0.00326388
94,3509.32,0.7524,0.35932,0,0.50041,0.92375,0.97035,0.93837,0.98703,0.86551,0.97035,0.93837,0.97887,0.94621,0.4455,0.22829,0,0.46628,0.70668,0.00316622,0.00316622,0.00316622
95,3520.2,0.7473,0.35056,0,0.49988,0.92304,0.96646,0.93788,0.98547,0.86188,0.96654,0.94019,0.97851,0.94342,0.4413,0.23047,0,0.4213,0.70627,0.00306936,0.00306936,0.00306936
96,3530.31,0.74181,0.361,0,0.50295,0.91983,0.96917,0.936,0.98588,0.86374,0.96506,0.93718,0.97719,0.94203,0.43453,0.23171,0,0.42392,0.70321,0.00297335,0.00297335,0.00297335
97,3540.61,0.7159,0.36529,0,0.47656,0.9067,0.96782,0.93724,0.98675,0.86161,0.96104,0.94391,0.97668,0.94385,0.43262,0.22364,0,0.51245,0.70387,0.00287823,0.00287823,0.00287823
