epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9504,1.76161,2.04122,0.43654,3.12335,1.43732,0.5852,0.48507,0.51879,0.30606,0.59531,0.52425,0.58045,0.39716,1.59369,1.29604,0.35306,2.82025,1.45162,0.000659176,0.000659176,0.000659176
2,23.3006,1.39371,1.16779,0.19636,1.23368,1.18122,0.6801,0.58209,0.62902,0.38722,0.68184,0.58955,0.63195,0.42883,1.41417,0.95569,0.19583,5.62225,1.35843,0.00127334,0.00127334,0.00127334
3,33.7199,1.37689,1.00975,0.18188,1.23197,1.19955,0.73106,0.75,0.78806,0.49551,0.75665,0.74833,0.81982,0.66863,1.33209,0.78163,0.25937,5.80607,1.30849,0.0018347,0.0018347,0.0018347
4,44.3361,1.31793,0.88708,0.16352,1.11689,1.16199,0.65271,0.47688,0.50451,0.29306,0.75485,0.5515,0.64671,0.49996,1.84691,0.94947,0.24967,3.50241,1.69175,0.0017624,0.0017624,0.0017624
5,54.2662,1.26904,0.80216,0.13697,1.04341,1.15957,0.76882,0.65858,0.73807,0.45052,0.78123,0.67291,0.77182,0.65906,1.37392,0.59898,0.25776,1.56269,1.29333,0.0016832,0.0016832,0.0016832
6,64.0316,1.22758,0.78297,0.13911,0.93429,1.11698,0.87343,0.85075,0.88623,0.61282,0.8744,0.86754,0.90769,0.80325,1.18088,0.45775,0.25169,1.11406,1.20698,0.001604,0.001604,0.001604
7,74.5371,1.168,0.71813,0.13376,0.90168,1.09622,0.90528,0.85634,0.90414,0.62401,0.91256,0.86381,0.91404,0.79388,1.07976,0.45235,0.23084,1.24259,1.12097,0.0015248,0.0015248,0.0015248
8,85.0783,1.11283,0.65318,0.11508,0.83566,1.06746,0.75598,0.76493,0.77419,0.50263,0.78117,0.78586,0.81489,0.69881,1.28137,0.54849,0.27534,1.30453,1.22834,0.0014456,0.0014456,0.0014456
9,95.1871,1.0912,0.64151,0.11837,0.78076,1.0753,0.91573,0.86754,0.92295,0.66984,0.91482,0.88806,0.93703,0.81472,1.05015,0.50566,0.26014,1.11829,1.10815,0.0013664,0.0013664,0.0013664
10,105.649,1.05109,0.59665,0.12407,0.72474,1.04704,0.9205,0.88246,0.92184,0.68156,0.92414,0.88637,0.93568,0.85731,0.97658,0.36152,0.22709,1.16695,1.07075,0.0012872,0.0012872,0.0012872
11,116.644,1.02322,0.55855,0.10451,0.71057,1.03182,0.91874,0.91418,0.93917,0.66262,0.94135,0.93284,0.96095,0.84806,1.1184,0.53041,0.23981,1.00653,1.13897,0.001208,0.001208,0.001208
12,126.419,1.03103,0.55945,0.10063,0.71547,1.04221,0.83366,0.87127,0.85191,0.62248,0.83562,0.88433,0.87346,0.79477,1.03374,0.33326,0.27787,1.15326,1.10344,0.0011288,0.0011288,0.0011288
13,136.344,0.98603,0.58333,0.11442,0.67861,1.01699,0.85637,0.77869,0.85276,0.63913,0.86556,0.79478,0.87666,0.79679,1.02392,0.40933,0.27316,1.2151,1.10383,0.0010496,0.0010496,0.0010496
14,146.333,0.93672,0.52522,0.08813,0.67324,1.00213,0.89795,0.91418,0.93135,0.71382,0.91261,0.9291,0.95154,0.86403,0.93856,0.34493,0.21831,0.82235,1.05978,0.0009704,0.0009704,0.0009704
15,156.887,0.96637,0.47497,0.10451,0.66396,1.02205,0.8905,0.93097,0.93122,0.68696,0.90299,0.94403,0.95825,0.88476,1.06259,0.30337,0.25978,1.29127,1.12979,0.0008912,0.0008912,0.0008912
16,168.523,0.93219,0.44751,0.04242,0.61843,1.03554,0.91626,0.87313,0.9231,0.70972,0.92655,0.88246,0.93887,0.85757,0.94274,0.321,0.30018,0.88015,1.06203,0.000812,0.000812,0.000812
17,178.451,0.90866,0.41984,0.02293,0.59387,1.02977,0.93373,0.92003,0.95713,0.73995,0.93186,0.94405,0.9702,0.91138,0.90483,0.26862,0.29047,1.14806,1.04814,0.0007328,0.0007328,0.0007328
18,188.951,0.87992,0.4255,0.02655,0.57432,1.00597,0.92266,0.87127,0.92401,0.70422,0.93269,0.8806,0.93643,0.86974,0.89476,0.2874,0.3372,0.89135,1.02654,0.0006536,0.0006536,0.0006536
19,198.999,0.84492,0.38295,0.0288,0.54876,0.98775,0.92809,0.91495,0.93943,0.73926,0.9413,0.92737,0.95707,0.9013,0.86136,0.25879,0.36029,0.73739,1.03029,0.0005744,0.0005744,0.0005744
20,208.556,0.84979,0.37763,0.02303,0.52942,0.98974,0.93875,0.91495,0.93929,0.75894,0.95341,0.9291,0.95563,0.89478,0.79814,0.26793,0.35238,0.66436,0.98761,0.0004952,0.0004952,0.0004952
21,218.706,0.81034,0.39031,0.03463,0.5133,0.98312,0.92121,0.92537,0.94008,0.74763,0.93868,0.93843,0.95665,0.90904,0.81088,0.23891,0.3475,0.66205,0.9902,0.000416,0.000416,0.000416
22,228.65,0.77233,0.32037,0.02775,0.4944,0.95603,0.93821,0.93478,0.94456,0.75968,0.94758,0.94425,0.95972,0.91096,0.78563,0.25352,0.33553,0.75233,0.98194,0.0003368,0.0003368,0.0003368
23,238.521,0.74315,0.3334,0.02126,0.4642,0.95455,0.93811,0.93328,0.957,0.7841,0.94749,0.94261,0.96848,0.92013,0.73347,0.24548,0.36999,0.64227,0.9597,0.0002576,0.0002576,0.0002576
24,248.445,0.73873,0.32217,0.02082,0.46946,0.94379,0.94107,0.93657,0.95512,0.77892,0.95045,0.9459,0.96745,0.92431,0.74876,0.23574,0.37916,0.60865,0.96563,0.0001784,0.0001784,0.0001784
25,257.402,0.71428,0.32409,0.02337,0.45368,0.93969,0.94151,0.93657,0.95688,0.78771,0.9513,0.94756,0.9697,0.9236,0.7235,0.23542,0.3896,0.6126,0.95402,9.92e-05,9.92e-05,9.92e-05
