epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4565,1.75143,2.05527,0.44971,3.10979,1.42289,0.74675,0.71082,0.75829,0.46065,0.76404,0.71887,0.79068,0.57602,1.30169,1.00799,0.3087,1.67719,1.2569,0.000659176,0.000659176,0.000659176
2,24.2221,1.38593,1.16919,0.19882,1.24087,1.19286,0.65467,0.1903,0.20277,0.11296,0.66288,0.19216,0.20738,0.15638,2.15173,2.00993,0.34175,4.22622,1.94721,0.00127334,0.00127334,0.00127334
3,34.0629,1.35964,1.01263,0.18819,1.19706,1.20027,0.735,0.66418,0.70959,0.40141,0.73411,0.66418,0.7055,0.54878,1.59838,0.86922,0.24612,1.64322,1.40784,0.0018347,0.0018347,0.0018347
4,44.2597,1.31436,0.86431,0.1688,1.09802,1.18651,0.79868,0.72534,0.7915,0.44523,0.81075,0.80037,0.85944,0.71803,1.57089,0.6683,0.29017,4.0696,1.4662,0.0017624,0.0017624,0.0017624
5,54.4555,1.22552,0.7538,0.13655,0.98779,1.15504,0.75455,0.7556,0.80035,0.50282,0.78259,0.77902,0.84541,0.69669,1.32236,0.5876,0.22436,1.46118,1.29117,0.0016832,0.0016832,0.0016832
6,65.6761,1.15663,0.78412,0.1366,0.90662,1.10722,0.90036,0.85075,0.90838,0.63314,0.89927,0.86606,0.92706,0.80885,1.11808,0.5229,0.22093,1.08345,1.1497,0.001604,0.001604,0.001604
7,77.1699,1.15241,0.66941,0.13602,0.89828,1.11412,0.89446,0.86381,0.91858,0.64155,0.90252,0.875,0.93972,0.84384,1.04726,0.44704,0.21467,0.9394,1.08433,0.0015248,0.0015248,0.0015248
8,88.0305,1.13422,0.65334,0.11504,0.84272,1.09769,0.76105,0.70522,0.77897,0.4972,0.8485,0.7444,0.84684,0.72667,1.35034,0.6207,0.23838,1.31154,1.29284,0.0014456,0.0014456,0.0014456
9,98.5387,1.09598,0.64352,0.11744,0.76802,1.08474,0.90785,0.8822,0.92577,0.66924,0.91744,0.89153,0.93549,0.83826,0.95796,0.39783,0.28419,0.89688,1.06469,0.0013664,0.0013664,0.0013664
10,109.708,1.02754,0.56398,0.12573,0.72231,1.05403,0.937,0.88619,0.93701,0.69621,0.93921,0.89552,0.94989,0.87309,0.99459,0.3947,0.22697,0.98211,1.09424,0.0012872,0.0012872,0.0012872
11,120.737,1.01982,0.55507,0.10328,0.72144,1.04567,0.89215,0.875,0.90431,0.63371,0.90737,0.88993,0.93102,0.83806,1.05038,0.39611,0.23664,1.751,1.12537,0.001208,0.001208,0.001208
12,130.96,1.02236,0.56107,0.10266,0.71826,1.05616,0.92265,0.92537,0.93988,0.70941,0.93144,0.9347,0.95723,0.87832,0.935,0.34826,0.28483,0.77325,1.07313,0.0011288,0.0011288,0.0011288
