frame_idx,conf,x1,y1,x2,y2,cx,cy
1,nan,nan,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan,nan,nan
3,nan,nan,nan,nan,nan,nan,nan
4,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan
7,nan,nan,nan,nan,nan,nan,nan
8,nan,nan,nan,nan,nan,nan,nan
9,nan,nan,nan,nan,nan,nan,nan
10,0.1312970072031021,316.0318603515625,235.93382263183594,402.23101806640625,320.4615783691406,359.1314392089844,278.1977005004883
11,nan,nan,nan,nan,nan,nan,nan
12,nan,nan,nan,nan,nan,nan,nan
13,0.10579250752925873,321.64617919921875,237.18814086914062,403.084716796875,321.87152099609375,362.3654479980469,279.5298309326172
14,nan,nan,nan,nan,nan,nan,nan
15,nan,nan,nan,nan,nan,nan,nan
16,0.16479533910751343,323.10760498046875,237.85569763183594,408.6673583984375,324.43292236328125,365.8874816894531,281.1443099975586
17,nan,nan,nan,nan,nan,nan,nan
18,0.6790265440940857,411.5047607421875,241.30352783203125,520.572998046875,325.4162292480469,466.03887939453125,283.35987854003906
19,0.781456708908081,487.7926025390625,229.68003845214844,588.407958984375,311.97393798828125,538.1002807617188,270.82698822021484
20,0.6636726260185242,542.4906005859375,205.50741577148438,646.5487060546875,312.5111389160156,594.5196533203125,259.00927734375
21,0.7927318811416626,589.6705322265625,168.7052764892578,687.3690795898438,256.7330322265625,638.5198059082031,212.71915435791016
22,0.8458454608917236,643.189208984375,170.46292114257812,734.7117919921875,240.37277221679688,688.9505004882812,205.4178466796875
23,0.8297039270401001,680.880126953125,176.46142578125,778.260009765625,246.79994201660156,729.570068359375,211.63068389892578
24,0.853087842464447,736.9217529296875,188.6894989013672,831.97900390625,263.2669677734375,784.4503784179688,225.97823333740234
25,0.8763976097106934,789.8697509765625,199.25894165039062,895.7310791015625,291.08917236328125,842.8004150390625,245.17405700683594
26,0.8708956241607666,865.8942260742188,243.92300415039062,959.5160522460938,316.8649597167969,912.7051391601562,280.39398193359375
27,0.6019797921180725,909.1798095703125,299.64794921875,1000.6065673828125,381.37030029296875,954.8931884765625,340.5091247558594
28,0.8903728127479553,966.3312377929688,361.48663330078125,1056.26025390625,437.5133972167969,1011.2957458496094,399.50001525878906
29,0.867580771446228,1010.3615112304688,414.59112548828125,1105.7332763671875,495.052978515625,1058.0473937988281,454.8220520019531
30,0.8602709770202637,1045.524658203125,473.96044921875,1132.1083984375,555.7644653320312,1088.8165283203125,514.8624572753906
31,0.8452159762382507,1077.0927734375,536.6260375976562,1162.630126953125,610.2303466796875,1119.8614501953125,573.4281921386719
32,0.8210511207580566,1098.7554931640625,564.4666748046875,1205.256103515625,639.69189453125,1152.0057983398438,602.0792846679688
33,0.7858617901802063,1142.531494140625,596.01904296875,1233.459716796875,669.2569580078125,1187.99560546875,632.6380004882812
34,0.8099050521850586,1144.7266845703125,574.391845703125,1248.9327392578125,686.1971435546875,1196.8297119140625,630.2944946289062
35,0.8444713950157166,1171.2657470703125,610.7706298828125,1250.383544921875,685.8577880859375,1210.8246459960938,648.314208984375
36,0.745355486869812,1174.1666259765625,603.039794921875,1252.7952880859375,680.353759765625,1213.48095703125,641.69677734375
37,0.8167473673820496,1181.6776123046875,602.6956787109375,1259.6646728515625,677.4600219726562,1220.671142578125,640.0778503417969
38,0.7881338000297546,1189.9971923828125,598.5721435546875,1272.7164306640625,673.2214965820312,1231.3568115234375,635.8968200683594
39,0.6834715008735657,1197.948486328125,602.0726318359375,1286.580810546875,684.0957641601562,1242.2646484375,643.0841979980469
40,0.8117366433143616,1217.107666015625,619.5870361328125,1301.094482421875,695.5040893554688,1259.10107421875,657.5455627441406
41,0.8300555944442749,1242.8074951171875,639.0267333984375,1316.0672607421875,709.3412475585938,1279.4373779296875,674.1839904785156
42,0.7772734761238098,1259.856689453125,648.8938598632812,1334.414306640625,716.1326904296875,1297.135498046875,682.5132751464844
43,0.5281535983085632,1267.42724609375,654.5037231445312,1338.997802734375,715.9312133789062,1303.2125244140625,685.2174682617188
44,0.8103951215744019,1273.625244140625,643.6780395507812,1346.0181884765625,715.1111450195312,1309.8217163085938,679.3945922851562
45,0.7435877323150635,1289.60400390625,644.97607421875,1362.340087890625,716.8128051757812,1325.9720458984375,680.8944396972656
46,nan,nan,nan,nan,nan,nan,nan
47,nan,nan,nan,nan,nan,nan,nan
48,0.394639253616333,1185.044189453125,622.8057250976562,1311.037109375,720.137939453125,1248.0406494140625,671.4718322753906
49,nan,nan,nan,nan,nan,nan,nan
50,0.3311953544616699,1190.310791015625,603.81005859375,1319.509033203125,707.908203125,1254.909912109375,655.859130859375
51,0.23911616206169128,1193.50830078125,604.7672729492188,1317.341064453125,707.3302612304688,1255.4246826171875,656.0487670898438
52,0.17755524814128876,1202.0185546875,601.8070678710938,1320.181396484375,709.0526733398438,1261.0999755859375,655.4298706054688
53,nan,nan,nan,nan,nan,nan,nan
54,nan,nan,nan,nan,nan,nan,nan
55,nan,nan,nan,nan,nan,nan,nan
56,nan,nan,nan,nan,nan,nan,nan
57,nan,nan,nan,nan,nan,nan,nan
58,nan,nan,nan,nan,nan,nan,nan
59,nan,nan,nan,nan,nan,nan,nan
60,nan,nan,nan,nan,nan,nan,nan
61,nan,nan,nan,nan,nan,nan,nan
62,0.12648002803325653,1246.83984375,659.4769287109375,1347.0274658203125,740.9837646484375,1296.9336547851562,700.2303466796875
63,0.15940651297569275,1246.4107666015625,658.488525390625,1346.5985107421875,741.266357421875,1296.504638671875,699.87744140625
64,0.16910216212272644,1246.413818359375,658.2929077148438,1348.181884765625,740.8492431640625,1297.2978515625,699.5710754394531
65,nan,nan,nan,nan,nan,nan,nan
66,0.10617786645889282,1251.251953125,659.2947387695312,1348.80322265625,740.6524047851562,1300.027587890625,699.9735717773438
67,0.11533667147159576,1250.31494140625,657.9417114257812,1348.871826171875,740.7608642578125,1299.5933837890625,699.3512878417969
68,0.12951460480690002,1250.599609375,657.8558959960938,1348.3167724609375,740.9585571289062,1299.4581909179688,699.4072265625
69,nan,nan,nan,nan,nan,nan,nan
70,nan,nan,nan,nan,nan,nan,nan
71,0.15179480612277985,1243.6064453125,663.3419189453125,1344.998046875,740.25732421875,1294.30224609375,701.7996215820312
72,0.1891603320837021,1243.59619140625,663.38330078125,1345.862060546875,739.8139038085938,1294.7291259765625,701.5986022949219
73,0.1261381059885025,1243.735595703125,667.535888671875,1343.3369140625,739.8565063476562,1293.5362548828125,703.6961975097656
74,nan,nan,nan,nan,nan,nan,nan
75,nan,nan,nan,nan,nan,nan,nan
76,nan,nan,nan,nan,nan,nan,nan
77,nan,nan,nan,nan,nan,nan,nan
78,nan,nan,nan,nan,nan,nan,nan
79,nan,nan,nan,nan,nan,nan,nan
80,nan,nan,nan,nan,nan,nan,nan
81,nan,nan,nan,nan,nan,nan,nan
82,0.10370070487260818,1230.152587890625,624.4893188476562,1338.818359375,735.8220825195312,1284.4854736328125,680.1557006835938
83,nan,nan,nan,nan,nan,nan,nan
84,nan,nan,nan,nan,nan,nan,nan
85,0.3549683094024658,1229.5650634765625,624.434814453125,1337.976318359375,733.468017578125,1283.7706909179688,678.951416015625
86,0.2897287607192993,1228.6702880859375,620.941162109375,1340.3719482421875,731.0768432617188,1284.5211181640625,676.0090026855469
87,0.18235483765602112,1229.3704833984375,621.550537109375,1341.457763671875,729.722412109375,1285.4141235351562,675.636474609375
88,nan,nan,nan,nan,nan,nan,nan
89,nan,nan,nan,nan,nan,nan,nan
90,nan,nan,nan,nan,nan,nan,nan
91,nan,nan,nan,nan,nan,nan,nan
92,nan,nan,nan,nan,nan,nan,nan
93,0.2664511203765869,1296.7313232421875,658.8084716796875,1358.5557861328125,721.2640991210938,1327.6435546875,690.0362854003906
94,0.1929388791322708,1302.490234375,663.3092651367188,1359.091064453125,720.4722290039062,1330.7906494140625,691.8907470703125
95,0.10659255087375641,1292.487060546875,660.3785400390625,1359.0838623046875,721.84375,1325.7854614257812,691.1111450195312
96,nan,nan,nan,nan,nan,nan,nan
97,0.22004933655261993,1298.098876953125,665.3468017578125,1362.727294921875,714.6865234375,1330.4130859375,690.0166625976562
98,0.10807490348815918,1300.12109375,666.8275146484375,1355.2158203125,713.8826904296875,1327.66845703125,690.3551025390625
